Município,codmun,UF,idsus_fx,Grupo Homogêneo
Lajeado,171200,TO,"6 a 6,9",GH6
Lavandeira,171215,TO,"5 a 5,9",GH6
Lizarda,171240,TO,"4 a 4,9",GH6
Luzinópolis,171245,TO,"5 a 5,9",GH6
Marianópolis do Tocantins,171250,TO,"5 a 5,9",GH6
Mateiros,171270,TO,"5 a 5,9",GH5
Maurilândia do Tocantins,171280,TO,"5 a 5,9",GH6
Miracema do Tocantins,171320,TO,"6 a 6,9",GH3
Miranorte,171330,TO,"5 a 5,9",GH6
Monte do Carmo,171360,TO,"5 a 5,9",GH5
Monte Santo do Tocantins,171370,TO,"5 a 5,9",GH6
Palmeiras do Tocantins,171380,TO,"4 a 4,9",GH6
Muricilândia,171395,TO,"6 a 6,9",GH6
Natividade,171420,TO,"5 a 5,9",GH6
Nazaré,171430,TO,"6 a 6,9",GH6
Nova Olinda,171488,TO,"5 a 5,9",GH6
Nova Rosalândia,171500,TO,"6 a 6,9",GH6
Novo Acordo,171510,TO,"5 a 5,9",GH6
Novo Alegre,171515,TO,"6 a 6,9",GH6
Novo Jardim,171525,TO,"6 a 6,9",GH6
Oliveira de Fátima,171550,TO,"7 a 7,9",GH6
Palmeirante,171570,TO,"4 a 4,9",GH6
Palmeirópolis,171575,TO,"5 a 5,9",GH6
Paraíso do Tocantins,171610,TO,"5 a 5,9",GH3
Paranã,171620,TO,"4 a 4,9",GH6
Pau D'Arco,171630,TO,"5 a 5,9",GH6
Pedro Afonso,171650,TO,"5 a 5,9",GH3
Peixe,171660,TO,"5 a 5,9",GH5
Pequizeiro,171665,TO,"5 a 5,9",GH6
Colméia,171670,TO,"4 a 4,9",GH6
Pindorama do Tocantins,171700,TO,"5 a 5,9",GH6
Piraquê,171720,TO,"6 a 6,9",GH6
Pium,171750,TO,"5 a 5,9",GH5
Ponte Alta do Bom Jesus,171780,TO,"5 a 5,9",GH6
Ponte Alta do Tocantins,171790,TO,"5 a 5,9",GH6
Porto Alegre do Tocantins,171800,TO,"5 a 5,9",GH6
Porto Nacional,171820,TO,"5 a 5,9",GH4
Praia Norte,171830,TO,"5 a 5,9",GH6
Presidente Kennedy,171840,TO,"5 a 5,9",GH5
Pugmil,171845,TO,"6 a 6,9",GH5
Recursolândia,171850,TO,"4 a 4,9",GH6
Riachinho,171855,TO,"5 a 5,9",GH6
Rio da Conceição,171865,TO,"6 a 6,9",GH6
Rio dos Bois,171870,TO,"5 a 5,9",GH5
Rio Sono,171875,TO,"5 a 5,9",GH6
Sampaio,171880,TO,"5 a 5,9",GH6
Sandolândia,171884,TO,"5 a 5,9",GH6
Santa Fé do Araguaia,171886,TO,"6 a 6,9",GH6
Santa Maria do Tocantins,171888,TO,"6 a 6,9",GH6
